Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
95737,K103,CST-MUMBAI,KALYAN JN,Monday
95739,K111,CST-MUMBAI,KALYAN JN,Sunday
95741,K115,CST-MUMBAI,KALYAN JN,Friday
95743,K119,CST-MUMBAI,KALYAN JN,Tuesday
95745,K121,CST-MUMBAI,KALYAN JN,Sunday
95801,DL35,CST-MUMBAI,DOMBIVLI,Wednesday
95805,DL49,CST-MUMBAI,DOMBIVLI,Saturday
95901,T17,CST-MUMBAI,THANE,Tuesday
95903,T27,CST-MUMBAI,THANE,Thursday
95905,T33,CST-MUMBAI,THANE,Monday
95907,T43,CST-MUMBAI,THANE,Tuesday
95909,T107,CST-MUMBAI,THANE,Tuesday
95911,T117,CST-MUMBAI,THANE,Monday
95913,T127,CST-MUMBAI,THANE,Thursday
95917,T117,CST-MUMBAI,THANE,Sunday
95919,T131,CST-MUMBAI,THANE,Thursday
96657,TL71,CST-MUMBAI,TITVALA,Thursday
97011,K3,CST-MUMBAI,KALYAN JN,Monday
97015,K5,CST-MUMBAI,KALYAN JN,Tuesday
97017,K7,CST-MUMBAI,KALYAN JN,Monday
97019,K9,CST-MUMBAI,KALYAN JN,Tuesday
97021,K13,CST-MUMBAI,KALYAN JN,Thursday
97025,K15,CST-MUMBAI,KALYAN JN,Monday
97027,K17,CST-MUMBAI,KALYAN JN,Monday
97029,K23,CST-MUMBAI,KALYAN JN,Monday
97031,K25,CST-MUMBAI,KALYAN JN,Saturday
97037,K29,CST-MUMBAI,KALYAN JN,Friday
97039,K31,CST-MUMBAI,KALYAN JN,Wednesday
97041,K35,CST-MUMBAI,KALYAN JN,Tuesday
97047,K37,CST-MUMBAI,KALYAN JN,Wednesday
97049,K39,CST-MUMBAI,KALYAN JN,Saturday
97053,K43,CST-MUMBAI,KALYAN JN,Tuesday
97055,K45,CST-MUMBAI,KALYAN JN,Wednesday
97057,K47,CST-MUMBAI,KALYAN JN,Saturday
97059,K49,CST-MUMBAI,KALYAN JN,Monday
97061,K51,CST-MUMBAI,KALYAN JN,Friday
97065,K55,CST-MUMBAI,KALYAN JN,Monday
97067,K57,CST-MUMBAI,KALYAN JN,Friday
97069,K59,CST-MUMBAI,KALYAN JN,Thursday
